Area_m2,Rooms_noisy,Floor_num_noisy,Parking_num_noisy,Municipality_score,Type_str_Novogradnja,Type_str_Ostalo,Type_str_Stara gradnja,Condition_str_Izvorno stanje,Condition_str_Lux,Condition_str_Ostalo,Condition_str_Renovirano,Condition_str_Za renoviranje,Heating_str_CG,Heating_str_EG,Heating_str_Ostalo,Heating_str_Podno,Heating_str_TA,Heating_str_Toplotne pumpe,Price_per_m2
65.0,2.4749080237694727,0.9584106806114997,1.0361785621013517,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
220.0,5.090142861281983,1.0200969131459119,2.044611546213363,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
67.0,2.046398788362281,-0.04272369936358065,-0.012669068372024708,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
45.25,1.5197316968394072,1.0321860059290355,-0.022925532685644623,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2651.9337016574586
25.0,0.4312037280884873,1.0206242227156497,0.014399954323901579,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
81.0,2.9311989040672404,-0.041865121935810025,-0.00912658289019036,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
86.0,3.91161672243364,0.9584837714085191,0.9525386355660345,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
76.0,3.073235229154987,1.0486639578501176,-0.03438474026338097,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
45.25,1.5202230023486418,0.987427079575612,0.021597222884739753,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2651.9337016574586
53.0,2.041614515559209,0.987064214706689,1.0158923941910152,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
25.0,0.40411689885916047,1.0312799567257502,-0.047290400749651657,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
65.0,3.5939819704323988,1.0447248577383859,-0.027802783806705058,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,3923.076923076923
53.0,3.066488528160084,1.0486001063822872,1.973107479658807,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
77.0,2.9424678221356553,1.0253378185258941,0.017189274359872844,6,False,False,True,False,True,False,False,False,False,False,False,False,False,True,4740.25974025974
86.0,3.93636499344142,0.9876259585530915,0.9519710537754364,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
71.0,2.9366809019706865,0.9583500716698669,0.9604108581984574,4,True,False,False,False,True,False,False,False,False,True,False,False,False,False,3211.2676056338028
25.0,0.46084844859190754,1.0277146915927438,0.029991608537318942,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
76.0,3.0049512863264476,1.0058404249735804,-0.03214553379456664,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
223.0,4.986389003728423,-0.007577799075302372,1.0152746107851875,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
220.0,4.958245828039608,1.0406354385094736,1.9738182781046727,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
86.0,4.022370578944476,0.9611197482306151,0.9599441392759345,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
65.0,2.4278987721304084,0.9992625104290859,0.9743172190999454,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
127.0,3.9584289297070434,-0.04886463552325809,0.022226693185565916,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
71.0,2.9732723686587383,0.9968660641994126,1.0355696468106286,4,True,False,False,False,True,False,False,False,False,True,False,False,False,False,3211.2676056338028
53.0,1.9912139968434073,0.9556303275681838,1.0330219864566992,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
220.0,5.057035192278603,0.9618817916268072,1.9897183529618454,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
25.0,0.43993475643167196,0.9617526246777105,0.016808513657064622,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
81.0,3.0028468876827223,0.01492103021160636,-0.029501570458417906,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
45.25,1.5184829137724085,1.0246044879265424,-0.020685226973898675,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2651.9337016574586
98.42,3.9092900825439996,1.008336876509716,1.039633581852112,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,3800.0
