Title,Price,Location,Details
"Beograd ,Dedinje, Bul. K. Aleksandra Karađorđevića",315.000 €,BeogradOpština Savski venacDedinjeBulevar kneza Aleksandra Karađorđevića,107 m 2 Kvadratura 4.0 Broj soba III/4 Spratnost
"Braće Jerković, 3.0, 95m2 kod okretnice 26",195.000 €,BeogradOpština VoždovacBraće JerkovićVojvode Vlahovića,95 m 2 Kvadratura 3.0 Broj soba II/3 Spratnost
"1.5 stan na Galenici, renovirano.",139.000 €,BeogradOpština ZemunGalenikaJovana Stojsavljevića,58 m 2 Kvadratura 1.5 Broj soba VIII/10 Spratnost
42m2 uknjižen stan CENTAR *mogućnost proširenja*,159.900 €,BeogradOpština Stari gradBajlonijeva pijacaDrinčićeva,42 m 2 Kvadratura 2.0 Broj soba IV/4 Spratnost
"Blok 61, 72kvm, sa garažom.",220.000 €,BeogradOpština Novi BeogradBlok 61Jurija Gagarina,72 m 2 Kvadratura 2.5 Broj soba II/7 Spratnost
"Lux novogradnja,Kolubarska",159.100 €,BeogradOpština VoždovacUstaničkaKolubarska,"51,05 m 2 Kvadratura 1.5 Broj soba II/8 Spratnost"
42m2 uknjižen stan CENTAR *mogućnost proširenja*,159.900 €,BeogradOpština Stari gradBajlonijeva pijacaDrinčićeva,42 m 2 Kvadratura 2.0 Broj soba IV/4 Spratnost
"Braće Jerković, Dragice Končar, renoviran 50m2",145.000 €,BeogradOpština VoždovacBraće JerkovićDragice Končar,50 m 2 Kvadratura 2.0 Broj soba VPR/5 Spratnost
"Palilula, Karaburma,Salvadora Aljendea 3.0; 68m2,T",159.900 €,BeogradOpština PalilulaKaraburmaSalvadora Aljendea,68 m 2 Kvadratura 3.0 Broj soba I/5 Spratnost
Park apartmani ID#42848,345.000 €,BeogradOpština Novi BeogradBlok 19aVladimira Popovića,96 m 2 Kvadratura 3.0 Broj soba VI/7 Spratnost
"Beograd, Vračar, Neimar, Hadži Melentijeva, garaža",585.000 €,BeogradOpština VračarNeimarHadži Melentijeva,128 m 2 Kvadratura 4.0 Broj soba I/4 Spratnost
Fontana 1.0 stan može adaptacija u jednoiposoban,129.900 €,BeogradOpština Novi BeogradFontanaPariske Komune,35 m 2 Kvadratura 1.0 Broj soba VI/8 Spratnost
"Braće Jerković, Dragice Končar, renoviran 50m2",145.000 €,BeogradOpština VoždovacBraće JerkovićDragice Končar,50 m 2 Kvadratura 2.0 Broj soba VPR/5 Spratnost
"Hram, useljiv odmah",345.000 €,BeogradOpština VračarHram svetog SaveInternacionalnih brigada,101 m 2 Kvadratura 3.0 Broj soba III/6 Spratnost
"Braće Jerković, Dragice Končar, renoviran 50m2",145.000 €,BeogradOpština VoždovacBraće JerkovićDragice Končar,50 m 2 Kvadratura 2.0 Broj soba VPR/5 Spratnost
Uknjižen dvosoban stan na odličnoj lokaciji,239.000 €,BeogradOpština Novi BeogradBlok 22bul. Zorana Đinđića,59 m 2 Kvadratura 2.0 Broj soba V/6 Spratnost
Savršeno projektovan 3.0 stan,160.930 €,BeogradOpština ČukaricaBanovo brdo,"58,52 m 2 Kvadratura 3.0 Broj soba I/5 Spratnost"
Fontana 1.0 stan može adaptacija u jednoiposoban,129.900 €,BeogradOpština Novi BeogradFontanaPariske Komune,35 m 2 Kvadratura 1.0 Broj soba VI/8 Spratnost
